instance,artist,t_linear,t_binary
0,Artist_0,0.03125,0.015625
0,Artist_5,0.015625,0.0
0,Artist_10,0.015625,0.0
0,Artist_15,0.0,0.015625
0,Artist_19,0.0,0.0
1,Artist_0,0.015625,0.0
1,Artist_5,0.0,0.0
1,Artist_10,0.015625,0.0
1,Artist_15,0.0,0.015625
1,Artist_19,0.0,0.0
2,Artist_0,0.015625,0.0
2,Artist_5,0.0,0.0
2,Artist_10,0.015625,0.0
2,Artist_15,0.0,0.0
2,Artist_19,0.015625,0.0
3,Artist_0,0.0,0.0
3,Artist_5,0.015625,0.0
3,Artist_10,0.0,0.015625
3,Artist_15,0.0,0.0
3,Artist_19,0.015625,0.0
4,Artist_0,0.0,0.0
4,Artist_5,0.015625,0.0
4,Artist_10,0.0,0.0
4,Artist_15,0.015625,0.0
4,Artist_19,0.0,0.0
5,Artist_0,0.015625,0.0
5,Artist_5,0.0,0.0
5,Artist_10,0.015625,0.0
5,Artist_15,0.0,0.015625
5,Artist_19,0.0,0.0
6,Artist_0,0.0,0.015625
6,Artist_5,0.0,0.0
6,Artist_10,0.015625,0.0
6,Artist_15,0.0,0.0
6,Artist_19,0.015625,0.0
7,Artist_0,0.0,0.0
7,Artist_5,0.015625,0.0
7,Artist_10,0.015625,0.0
7,Artist_15,0.0,0.0
7,Artist_19,0.015625,0.0
8,Artist_0,0.0,0.0
8,Artist_5,0.015625,0.0
8,Artist_10,0.0,0.0
8,Artist_15,0.015625,0.0
8,Artist_19,0.0,0.0
9,Artist_0,0.015625,0.0
9,Artist_5,0.0,0.015625
9,Artist_10,0.0,0.0
9,Artist_15,0.015625,0.0
9,Artist_19,0.0,0.0
10,Artist_0,0.015625,0.0
10,Artist_5,0.0,0.0
10,Artist_10,0.015625,0.0
10,Artist_15,0.0,0.0
10,Artist_19,0.015625,0.0
11,Artist_0,0.0,0.0
11,Artist_5,0.015625,0.0
11,Artist_10,0.0,0.015625
11,Artist_15,0.0,0.0
11,Artist_19,0.015625,0.0
12,Artist_0,0.0,0.0
12,Artist_5,0.015625,0.0
12,Artist_10,0.0,0.0
12,Artist_15,0.015625,0.0
12,Artist_19,0.0,0.0
13,Artist_0,0.015625,0.0
13,Artist_5,0.0,0.015625
13,Artist_10,0.0,0.0
13,Artist_15,0.015625,0.0
13,Artist_19,0.0,0.0
14,Artist_0,0.015625,0.0
14,Artist_5,0.0,0.0
14,Artist_10,0.015625,0.0
14,Artist_15,0.0,0.0
14,Artist_19,0.015625,0.0
15,Artist_0,0.015625,0.0
15,Artist_5,0.0,0.0
15,Artist_10,0.015625,0.0
15,Artist_15,0.0,0.0
15,Artist_19,0.015625,0.0
16,Artist_0,0.015625,0.0
16,Artist_5,0.0,0.0
16,Artist_10,0.015625,0.0
16,Artist_15,0.0,0.015625
16,Artist_19,0.0,0.0
17,Artist_0,0.015625,0.0
17,Artist_5,0.0,0.0
17,Artist_10,0.0,0.0
17,Artist_15,0.015625,0.0
17,Artist_19,0.015625,0.0
18,Artist_0,0.0,0.0
18,Artist_5,0.015625,0.0
18,Artist_10,0.0,0.015625
18,Artist_15,0.0,0.0
18,Artist_19,0.015625,0.0
19,Artist_0,0.0,0.0
19,Artist_5,0.015625,0.0
19,Artist_10,0.015625,0.0
19,Artist_15,0.0,0.0
19,Artist_19,0.015625,0.0
20,Artist_0,0.0,0.0
20,Artist_5,0.015625,0.0
20,Artist_10,0.0,0.0
20,Artist_15,0.015625,0.0
20,Artist_19,0.015625,0.0
21,Artist_0,0.015625,0.0
21,Artist_5,0.0,0.0
21,Artist_10,0.015625,0.0
21,Artist_15,0.0,0.0
21,Artist_19,0.015625,0.0
22,Artist_0,0.015625,0.0
22,Artist_5,0.0,0.015625
22,Artist_10,0.0,0.0
22,Artist_15,0.015625,0.0
22,Artist_19,0.0,0.0
23,Artist_0,0.015625,0.0
23,Artist_5,0.0,0.0
23,Artist_10,0.015625,0.0
23,Artist_15,0.0,0.015625
23,Artist_19,0.0,0.0
24,Artist_0,0.015625,0.0
24,Artist_5,0.0,0.0
24,Artist_10,0.015625,0.0
24,Artist_15,0.0,0.0
24,Artist_19,0.015625,0.0
25,Artist_0,0.0,0.0
25,Artist_5,0.015625,0.0
25,Artist_10,0.0,0.015625
25,Artist_15,0.0,0.0
25,Artist_19,0.015625,0.0
26,Artist_0,0.0,0.0
26,Artist_5,0.015625,0.0
26,Artist_10,0.015625,0.0
26,Artist_15,0.0,0.0
26,Artist_19,0.015625,0.0
27,Artist_0,0.0,0.0
27,Artist_5,0.015625,0.0
27,Artist_10,0.0,0.015625
27,Artist_15,0.0,0.0
27,Artist_19,0.015625,0.0
28,Artist_0,0.0,0.0
28,Artist_5,0.015625,0.0
28,Artist_10,0.0,0.015625
28,Artist_15,0.0,0.0
28,Artist_19,0.015625,0.0
29,Artist_0,0.0,0.0
29,Artist_5,0.015625,0.0
29,Artist_10,0.0,0.015625
29,Artist_15,0.0,0.0
