instancia,insertionSort,selectionSort,mergeSort,quickSort
0,2.5,2.046875,0.00625,0.0046875
1,2.4375,2.03125,0.00625,0.003125
2,2.53125,2.03125,0.0078125,0.0046875
3,2.390625,2.03125,0.00625,0.0046875
4,2.4375,2.046875,0.0078125,0.003125
5,2.546875,2.078125,0.00625,0.0046875
6,2.421875,2.03125,0.0078125,0.0046875
7,2.375,2.015625,0.00625,0.0046875
8,2.3125,2.03125,0.0078125,0.003125
9,2.40625,2.046875,0.0078125,0.003125
10,2.375,2.015625,0.00625,0.0046875
11,2.4375,2.0,0.0078125,0.003125
12,2.546875,2.03125,0.00625,0.0015625
13,2.40625,2.09375,0.0078125,0.0046875
14,2.5,2.0625,0.00625,0.0046875
15,2.46875,2.078125,0.0078125,0.003125
16,2.421875,1.953125,0.0078125,0.003125
17,2.40625,2.046875,0.00625,0.0046875
18,2.484375,2.0,0.0078125,0.0046875
19,2.390625,2.015625,0.00625,0.0046875
20,2.4375,2.03125,0.00625,0.003125
21,2.328125,2.03125,0.00625,0.0046875
22,2.359375,2.0,0.0078125,0.0046875
23,2.375,2.03125,0.0078125,0.003125
24,2.484375,2.015625,0.0078125,0.0046875
25,2.34375,2.03125,0.0078125,0.0046875
26,2.359375,2.046875,0.0078125,0.003125
27,2.375,2.03125,0.0078125,0.0046875
28,2.40625,2.046875,0.00625,0.0046875
29,2.421875,2.046875,0.00625,0.0046875
30,2.515625,1.984375,0.00625,0.003125
31,2.4375,2.03125,0.00625,0.0046875
32,2.390625,2.03125,0.00625,0.0046875
33,2.375,2.046875,0.0078125,0.003125
34,2.453125,1.984375,0.00625,0.0046875
35,2.53125,2.046875,0.0078125,0.003125
36,2.4375,1.984375,0.00625,0.0046875
37,2.328125,2.03125,0.00625,0.0046875
38,2.359375,2.0,0.0078125,0.0046875
39,2.3125,2.046875,0.00625,0.0046875
40,2.390625,2.03125,0.0078125,0.003125
41,2.40625,2.03125,0.0078125,0.003125
42,2.453125,2.03125,0.00625,0.0046875
43,2.328125,2.015625,0.00625,0.0046875
44,2.3125,2.015625,0.00625,0.0046875
45,2.40625,2.015625,0.00625,0.0046875
46,2.359375,1.984375,0.0078125,0.0046875
47,2.5,2.03125,0.0078125,0.003125
48,2.375,2.03125,0.00625,0.0046875
49,2.40625,2.046875,0.0078125,0.0046875
50,2.703125,2.078125,0.00625,0.0046875
51,2.4375,2.109375,0.0109375,0.0046875
52,2.796875,2.09375,0.0078125,0.0046875
53,2.46875,2.015625,0.0078125,0.0046875
54,2.4375,2.015625,0.00625,0.0046875
55,2.5,2.046875,0.00625,0.0046875
56,2.390625,1.984375,0.0078125,0.003125
57,2.421875,2.046875,0.0078125,0.0046875
58,2.359375,2.03125,0.0078125,0.003125
59,2.453125,2.046875,0.0078125,0.003125
60,2.421875,2.03125,0.0078125,0.003125
61,2.34375,2.015625,0.0078125,0.0046875
62,2.296875,2.046875,0.00625,0.0046875
63,2.296875,2.0625,0.0078125,0.003125
64,2.34375,2.015625,0.0078125,0.003125
65,2.4375,2.015625,0.0078125,0.003125
66,2.453125,2.03125,0.009375,0.003125
67,2.65625,2.046875,0.0078125,0.0046875
68,2.546875,2.015625,0.0078125,0.003125
69,2.375,2.046875,0.00625,0.003125
70,2.453125,2.015625,0.0078125,0.0046875
71,2.765625,2.078125,0.0078125,0.003125
72,2.59375,2.015625,0.0078125,0.0046875
73,2.390625,2.09375,0.0078125,0.003125
74,2.53125,2.078125,0.0078125,0.003125
75,2.4375,2.09375,0.0078125,0.0046875
76,2.453125,2.046875,0.00625,0.0046875
77,2.5,2.0625,0.0078125,0.0046875
78,2.65625,2.03125,0.00625,0.0046875
79,2.3125,2.0625,0.00625,0.0046875
80,2.453125,2.015625,0.0078125,0.003125
81,2.359375,2.046875,0.0078125,0.0046875
82,2.3125,2.046875,0.0078125,0.003125
83,2.328125,2.09375,0.0078125,0.0046875
84,2.609375,2.078125,0.0046875,0.0046875
85,2.5,2.078125,0.0078125,0.0046875
86,2.484375,2.0,0.0078125,0.003125
87,2.421875,2.046875,0.0078125,0.003125
88,2.453125,2.03125,0.0078125,0.0046875
89,2.46875,2.03125,0.00625,0.0046875
90,2.421875,2.03125,0.00625,0.0046875
91,2.359375,2.046875,0.0078125,0.0046875
92,2.34375,2.03125,0.0078125,0.0046875
93,2.21875,2.015625,0.00625,0.003125
94,2.34375,2.015625,0.00625,0.0046875
95,2.34375,2.03125,0.00625,0.0046875
96,2.375,2.0,0.00625,0.0046875
97,2.375,2.046875,0.00625,0.0046875
98,2.375,2.03125,0.00625,0.0046875
99,2.453125,2.046875,0.0078125,0.003125
