instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
0,BST,8192,2822,2500,1232,812,826,107,2393,39,1193,1,811,2685,24,0.002469109
0,RedBlackBST,8192,2822,2500,1232,812,826,107,2393,30,1202,2,810,2685,14,0.002240779
1,BST,8192,2844,2458,1250,819,821,104,2354,53,1197,0,819,2691,22,0.003055516
1,RedBlackBST,8192,2844,2458,1250,819,821,104,2354,44,1206,1,818,2691,14,0.003279726
2,BST,8192,2826,2487,1232,830,817,116,2371,56,1176,0,830,2680,23,0.002910585
2,RedBlackBST,8192,2826,2487,1232,830,817,116,2371,52,1180,1,829,2680,15,0.002914091
3,BST,8192,2818,2465,1246,824,839,108,2357,52,1194,0,824,2647,25,0.00292393
3,RedBlackBST,8192,2818,2465,1246,824,839,108,2357,44,1202,0,824,2647,15,0.002682647
4,BST,8192,2885,2435,1248,812,812,110,2325,40,1208,0,812,2730,24,0.064768689
4,RedBlackBST,8192,2885,2435,1248,812,812,110,2325,37,1211,0,812,2730,15,0.029271349
5,BST,8192,2860,2426,1275,825,806,93,2333,49,1226,0,825,2701,25,0.001050768
5,RedBlackBST,8192,2860,2426,1275,825,806,93,2333,41,1234,0,825,2701,14,9.52826E-4
6,BST,8192,2840,2569,1203,736,844,105,2464,44,1159,0,736,2685,25,9.80117E-4
6,RedBlackBST,8192,2840,2569,1203,736,844,105,2464,36,1167,0,736,2685,15,9.79335E-4
7,BST,8192,2794,2447,1243,829,879,98,2349,61,1182,1,828,2630,22,0.001007168
7,RedBlackBST,8192,2794,2447,1243,829,879,98,2349,53,1190,1,828,2630,15,9.5517E-4
8,BST,8192,2906,2483,1223,759,821,111,2372,42,1181,0,759,2739,24,9.51243E-4
8,RedBlackBST,8192,2906,2483,1223,759,821,111,2372,35,1188,0,759,2739,15,0.001039328
9,BST,8192,2820,2445,1248,817,862,98,2347,53,1195,1,816,2664,24,9.13742E-4
9,RedBlackBST,8192,2820,2445,1248,817,862,98,2347,44,1204,1,816,2664,14,9.38909E-4
10,BST,8192,2880,2445,1265,787,815,91,2354,60,1205,0,787,2714,27,9.70549E-4
10,RedBlackBST,8192,2880,2445,1265,787,815,91,2354,49,1216,1,786,2714,15,9.77612E-4
11,BST,8192,2895,2462,1279,772,784,99,2363,52,1227,0,772,2744,23,9.20605E-4
11,RedBlackBST,8192,2895,2462,1279,772,784,99,2363,41,1238,1,771,2744,15,9.42316E-4
12,BST,8192,2950,2396,1188,816,842,103,2293,42,1146,0,816,2784,24,9.59168E-4
12,RedBlackBST,8192,2950,2396,1188,816,842,103,2293,36,1152,0,816,2784,15,9.53718E-4
13,BST,8192,2886,2414,1272,809,811,133,2281,62,1210,1,808,2728,24,0.001036393
13,RedBlackBST,8192,2886,2414,1272,809,811,133,2281,51,1221,0,809,2728,15,9.7115E-4
14,BST,8192,2881,2472,1198,775,866,107,2365,43,1155,0,775,2712,22,9.45542E-4
14,RedBlackBST,8192,2881,2472,1198,775,866,107,2365,36,1162,1,774,2712,14,9.61522E-4
15,BST,8192,2849,2465,1259,830,789,106,2359,50,1209,0,830,2676,23,9.37016E-4
15,RedBlackBST,8192,2849,2465,1259,830,789,106,2359,42,1217,0,830,2676,15,9.72432E-4
16,BST,8192,2930,2436,1195,817,814,123,2313,53,1142,0,817,2784,21,0.001361361
16,RedBlackBST,8192,2930,2436,1195,817,814,123,2313,48,1147,1,816,2784,15,0.001374977
17,BST,8192,2931,2428,1236,788,809,118,2310,51,1185,1,787,2778,23,0.001263602
17,RedBlackBST,8192,2931,2428,1236,788,809,118,2310,46,1190,1,787,2778,15,9.65409E-4
18,BST,8192,2934,2424,1242,782,810,97,2327,51,1191,0,782,2765,26,9.87662E-4
18,RedBlackBST,8192,2934,2424,1242,782,810,97,2327,43,1199,1,781,2765,15,0.001004523
19,BST,8192,2912,2468,1183,785,844,106,2362,48,1135,0,785,2754,22,9.36705E-4
19,RedBlackBST,8192,2912,2468,1183,785,844,106,2362,39,1144,1,784,2754,15,9.64517E-4
20,BST,8192,2842,2441,1244,809,856,105,2336,40,1204,0,809,2676,22,9.50031E-4
20,RedBlackBST,8192,2842,2441,1244,809,856,105,2336,34,1210,0,809,2676,14,0.001480886
21,BST,8192,2856,2500,1222,827,787,113,2387,62,1160,0,827,2667,26,0.001425353
21,RedBlackBST,8192,2856,2500,1222,827,787,113,2387,49,1173,0,827,2667,15,0.001036511
22,BST,8192,2861,2500,1188,827,816,99,2401,40,1148,1,826,2712,24,9.2324E-4
22,RedBlackBST,8192,2861,2500,1188,827,816,99,2401,31,1157,1,826,2712,15,9.48417E-4
23,BST,8192,2899,2476,1267,781,769,102,2374,52,1215,0,781,2732,23,9.67082E-4
