instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
0,BST,32768,11426,9871,4950,3248,3273,385,9486,201,4749,2,3246,10808,32,0.005552286
0,RedBlackBST,32768,11426,9871,4950,3248,3273,385,9486,178,4772,4,3244,10808,18,0.005150853
1,BST,32768,11525,9770,4998,3237,3238,395,9375,203,4795,0,3237,10878,29,0.006446311
1,RedBlackBST,32768,11525,9770,4998,3237,3238,395,9375,173,4825,0,3237,10878,17,0.005103655
2,BST,32768,11362,9894,4826,3313,3373,437,9457,202,4624,2,3311,10737,28,0.006253266
2,RedBlackBST,32768,11362,9894,4826,3313,3373,437,9457,171,4655,5,3308,10737,17,0.005546695
3,BST,32768,11469,9849,4893,3258,3299,415,9434,201,4692,1,3257,10843,30,0.005641075
3,RedBlackBST,32768,11469,9849,4893,3258,3299,415,9434,176,4717,2,3256,10843,17,0.005519434
4,BST,32768,11353,9888,4923,3282,3322,431,9457,180,4743,2,3280,10747,32,0.005750858
4,RedBlackBST,32768,11353,9888,4923,3282,3322,431,9457,150,4773,2,3280,10747,17,0.005370427
5,BST,32768,11314,10062,4795,3252,3345,419,9643,179,4616,2,3250,10665,31,0.005779726
5,RedBlackBST,32768,11314,10062,4795,3252,3345,419,9643,148,4647,2,3250,10665,18,0.005809789
6,BST,32768,11432,9838,4964,3274,3260,431,9407,171,4793,0,3274,10800,27,0.005384123
6,RedBlackBST,32768,11432,9838,4964,3274,3260,431,9407,133,4831,0,3274,10800,17,0.00522358
7,BST,32768,11571,9864,4820,3190,3323,406,9458,199,4621,2,3188,10942,29,0.005829534
7,RedBlackBST,32768,11571,9864,4820,3190,3323,406,9458,168,4652,3,3187,10942,18,0.005810119
8,BST,32768,11335,9789,4957,3343,3344,405,9384,183,4774,2,3341,10751,28,0.005280941
8,RedBlackBST,32768,11335,9789,4957,3343,3344,405,9384,149,4808,2,3341,10751,18,0.005006613
9,BST,32768,11461,9809,4864,3319,3315,393,9416,175,4689,1,3318,10852,27,0.005269707
9,RedBlackBST,32768,11461,9809,4864,3319,3315,393,9416,142,4722,2,3317,10852,17,0.006773014
10,BST,32768,11515,9871,4892,3249,3241,416,9455,189,4703,3,3246,10898,30,0.005956988
10,RedBlackBST,32768,11515,9871,4892,3249,3241,416,9455,159,4733,3,3246,10898,18,0.006833637
11,BST,32768,11413,9858,4864,3283,3350,405,9453,179,4685,0,3283,10805,32,0.006352266
11,RedBlackBST,32768,11413,9858,4864,3283,3350,405,9453,146,4718,1,3282,10805,17,0.005078398
12,BST,32768,11459,9781,4951,3341,3236,411,9370,180,4771,4,3337,10837,31,0.008032564
12,RedBlackBST,32768,11459,9781,4951,3341,3236,411,9370,149,4802,6,3335,10837,19,0.005128732
13,BST,32768,11528,9866,4800,3280,3294,433,9433,194,4606,4,3276,10893,31,0.005207319
13,RedBlackBST,32768,11528,9866,4800,3280,3294,433,9433,163,4637,6,3274,10893,18,0.005940123
14,BST,32768,11569,9923,4852,3283,3141,390,9533,175,4677,1,3282,10914,30,0.005192702
14,RedBlackBST,32768,11569,9923,4852,3283,3141,390,9533,135,4717,1,3282,10914,17,0.005784722
15,BST,32768,11558,9824,4890,3241,3255,395,9429,190,4700,0,3241,10944,31,0.005505939
15,RedBlackBST,32768,11558,9824,4890,3241,3255,395,9429,154,4736,4,3237,10944,18,0.005258616
16,BST,32768,11516,9731,4898,3330,3293,415,9316,168,4730,2,3328,10876,32,0.005696957
16,RedBlackBST,32768,11516,9731,4898,3330,3293,415,9316,135,4763,2,3328,10876,17,0.005164391
17,BST,32768,11397,9962,4893,3258,3258,439,9523,191,4702,1,3257,10770,27,0.005267813
17,RedBlackBST,32768,11397,9962,4893,3258,3258,439,9523,163,4730,2,3256,10770,17,0.005553134
18,BST,32768,11477,9815,4861,3281,3334,438,9377,194,4667,0,3281,10850,33,0.005383851
18,RedBlackBST,32768,11477,9815,4861,3281,3334,438,9377,158,4703,2,3279,10850,18,0.005700002
19,BST,32768,11436,9881,4859,3282,3310,438,9443,164,4695,3,3279,10812,30,0.006022727
19,RedBlackBST,32768,11436,9881,4859,3282,3310,438,9443,144,4715,3,3279,10812,18,0.006031844
